index,A,B,C,V
0,-258.93763863437493,-654.1949132579581,-570.7438662976431,0
1,-258.70523190533225,-655.1516522106714,-570.9255899364151,0
2,-259.43753070003237,-653.7602323327854,-570.984618522498,0
3,-259.1219901020475,-654.5504918048155,-571.7377369407309,0
4,-259.5578436415569,-653.9053449466635,-571.0123811116733,0
5,-1272.811695616432,-1073.4487706717048,-674.846233059078,1
6,-1273.050592202581,-1072.934482758438,-676.7488753197491,1
7,-259.4002330715382,-654.4900691357412,-570.9970415340133,0
8,-259.4406124382656,-654.5847722700497,-571.5923590420485,0
9,-259.1196339271665,-654.5824187020589,-571.7132584444436,0
10,-259.8920084865505,-653.94973214172,-570.8993406201001,0
11,-259.7850495611275,-654.4838134829095,-571.1435440432184,0
12,-259.6912761293064,-653.7308409501557,-571.1911655152306,0
13,-259.87166900426456,-653.8196412772792,-570.9010852179355,0
14,-1274.1097180957788,-1073.43045381597,-675.3185195444657,1
15,-259.20789648099003,-654.5246989607019,-571.4944824553986,0
16,-259.17435672668995,-654.3452040805413,-571.4518700842692,0
17,-260.16572820526966,-654.5815345235876,-571.1118798457626,0
18,-259.27454263934123,-654.7224498473385,-570.9780442929127,0
19,-259.5777659571773,-654.0168039760797,-571.2905925278703,0
20,-260.1698796707164,-653.728364369853,-571.2398435606765,0
21,-259.05246840156656,-654.8102671379576,-571.7183434256222,0
22,-260.0242213742284,-653.9528388942324,-571.2526131003116,0
23,-259.61810920434056,-654.071637271766,-571.5742767515746,0
24,-259.8911434157256,-653.7743407737413,-571.4563219953374,0
25,-259.31854664670504,-655.5941511720904,-571.3445485695478,0
26,-259.871632866459,-655.0499544540936,-571.220055093365,0
27,-259.35476270486834,-654.1229385919987,-571.694791553064,0
28,-260.1989795591082,-654.8147833611202,-571.3569685488659,0
29,-259.2798824871748,-654.3182185114277,-571.1837676926353,0
30,-259.3494669552281,-654.3495664383971,-570.9533061468155,0
31,-259.66594981466807,-655.163006475993,-571.0547715504296,0
32,-258.9278049052258,-654.4192879951795,-571.3927038036207,0
33,-258.99983069988207,-655.0569377852115,-570.9985322448468,0
34,-259.90430695698643,-654.279649850606,-571.0266401066854,0
35,-259.5497977459299,-654.8029114434528,-571.3666793439501,0
36,-259.46228937389435,-655.2364869818672,-571.2062677450402,0
37,-259.2549596129119,-654.3824682041775,-571.7029751938205,0
38,-258.86395037914207,-654.7509064944023,-571.3655819287234,0
39,-1275.118399353704,-1070.35066271234,-674.7889220676724,1
40,-259.63913028193144,-654.7801557792561,-570.8801808307371,0
41,-259.4683242428971,-654.4768021576409,-572.1637922454786,0
42,-258.81831971583176,-654.17374205,-571.5881230555868,0
43,-259.32275280413506,-653.2688040156773,-571.6446075704196,0
44,-259.99892391327313,-653.9378344692866,-571.2413464916802,0
45,-259.2049004559089,-654.5895587459073,-570.3964652001899,0
46,-259.0332949925111,-654.73643736294,-570.510535401811,0
47,-259.1790858084162,-654.3911570105834,-570.8268537767153,0
48,-259.441946364146,-654.4853555505679,-571.6673283652688,0
49,-259.56687248553413,-653.930614026062,-571.0871666744822,0
50,-259.1963185295086,-654.3661886528068,-571.3759576733037,0
51,-258.935395856245,-653.6992214681202,-571.5498097093091,0
52,-259.02183983434963,-654.2878331743013,-571.0052727353464,0
53,-259.09364950168947,-654.4555261815806,-571.3184420741736,0
54,-259.16197181640536,-654.421963079404,-571.8947062741938,0
