Id,Prima etichetta,Pr Prima etichetta,Verita Prima etichetta,Luogo,Orario,Verita Seconda etichetta,Tipo situazione
1,VS,66,VS,D,1647614166,Non sospetto,Situazione Normale
2,VS,70,VS,B,1647614169,Non sospetto,Situazione Normale
3,VCS,62,VCS,E,1647614171,Non sospetto,Situazione Normale
4,VS,65,VS,B,1647614174,Non sospetto,Situazione Normale
5,VS,62,VCS,B,1647614175,Non sospetto,Situazione Normale
6,VS,57,VCI,D,1647614177,Non sospetto,Situazione Normale
7,VS,68,VS,E,1647614181,Non sospetto,Situazione Normale
8,VS,80,VS,D,1647614184,Non sospetto,Situazione Normale
9,VS,85,VS,D,1647614186,Non sospetto,Situazione Normale
10,VCS,89,VCS,B,1647614189,Non sospetto,Situazione Normale
11,VS,65,VS,E,1647614192,Non sospetto,Situazione Normale
12,VS,59,VS,D,1647614193,Non sospetto,Situazione Normale
13,VS,85,VS,D,1647614195,Non sospetto,Situazione Normale
14,VS,90,VS,C,1647614199,Non sospetto,Situazione Normale
15,VS,92,VS,E,1647614200,Non sospetto,Situazione Normale
16,VS,82,VS,D,1647614202,Non sospetto,Situazione Normale
17,VS,50,VTC,D,1647614204,Non sospetto,Situazione Normale
18,VS,67,VS,C,1647614208,Non sospetto,Situazione Normale
19,VS,51,VCS,B,1647614209,Non sospetto,Situazione Normale
20,VS,81,VS,E,1647614212,Non sospetto,Situazione Normale
21,VS,61,VS,E,1647614213,Non sospetto,Situazione Normale
22,VCS,62,VTC,A,1647614214,Non sospetto,Situazione Normale
23,VS,82,VS,B,1647614218,Non sospetto,Situazione Normale
24,VS,74,VS,C,1647614222,Non sospetto,Situazione Normale
25,VS,61,VS,B,1647614223,Non sospetto,Situazione Normale
26,VS,71,VS,D,1647614227,Non sospetto,Situazione Normale
27,VS,70,VS,D,1647614230,Non sospetto,Situazione Normale
28,VS,57,VS,A,1647614233,Non sospetto,Situazione Normale
29,VS,55,VCI,E,1647614235,Non sospetto,Situazione Normale
30,VS,85,VS,D,1647614236,Non sospetto,Situazione Normale
31,VS,66,VS,E,1647614237,Non sospetto,Situazione Normale
32,VS,84,VS,E,1647614239,Non sospetto,Situazione Normale
33,VS,80,VS,C,1647614241,Non sospetto,Situazione Normale
34,VS,63,VCI,B,1647614242,Non sospetto,Situazione Normale
35,VS,64,VS,C,1647614244,Non sospetto,Situazione Normale
36,VS,62,VS,D,1647614247,Non sospetto,Situazione Normale
37,VS,54,VTC,E,1647614248,Non sospetto,Situazione Normale
38,VS,55,VCI,E,1647614251,Non sospetto,Situazione Normale
39,VS,62,VCS,B,1647614253,Non sospetto,Situazione Normale
40,VCS,94,VCS,A,1647614256,Non sospetto,Situazione Normale
41,VCS,85,VCS,A,1647614258,Non sospetto,Situazione Normale
42,VS,78,VS,C,1647614262,Non sospetto,Situazione Normale
43,VCI,88,VCI,B,1647614266,Sospetto,Situazione Normale
44,VS,95,VS,B,1647614270,Non sospetto,Situazione Normale
45,VCS,84,VCS,A,1647614273,Non sospetto,Situazione Normale
46,VS,54,VTC,E,1647614276,Non sospetto,Situazione Normale
47,VS,56,VS,C,1647614278,Non sospetto,Situazione Normale
48,VS,95,VS,A,1647614281,Non sospetto,Situazione Normale
49,VS,97,VS,E,1647614283,Non sospetto,Situazione Normale
50,VS,63,VTC,C,1647614286,Non sospetto,Situazione Normale
51,VS,97,VS,E,1647614290,Non sospetto,Situazione Normale
52,VCS,71,VCS,B,1647614293,Non sospetto,Situazione Normale
53,VS,55,VS,D,1647614295,Non sospetto,Situazione Normale
54,VS,56,VS,B,1647614298,Non sospetto,Situazione Normale
55,VS,86,VS,C,1647614300,Non sospetto,Situazione Normale
56,VS,79,VS,A,1647614303,Non sospetto,Situazione Normale
57,VS,55,VTC,C,1647614304,Non sospetto,Situazione Normale
58,VS,84,VS,D,1647614308,Non sospetto,Situazione Normale
59,VS,56,VCI,E,1647614310,Non sospetto,Situazione Normale
60,VCI,67,VCI,B,1647614313,Sospetto,Situazione Normale
61,VCS,78,VCS,D,1647614316,Non sospetto,Situazione Normale
62,VCI,90,VCI,C,1647614319,Sospetto,Situazione Normale
63,VS,85,VS,C,1647614320,Non sospetto,Situazione Normale
64,VCI,57,VCS,B,1647614324,Sospetto,Situazione Normale
65,VS,72,VS,E,1647614326,Non sospetto,Situazione Normale
66,VS,83,VS,A,1647614330,Non sospetto,Situazione Normale
67,VCS,53,VCS,A,1647614334,Non sospetto,Situazione Normale
68,VS,75,VS,C,1647614335,Non sospetto,Situazione Normale
69,VCS,98,VCS,E,1647614337,Non sospetto,Situazione Normale
70,VCS,87,VCS,E,1647614339,Non sospetto,Situazione Normale
71,VS,88,VS,E,1647614342,Non sospetto,Situazione Normale
72,VS,83,VS,D,1647614346,Non sospetto,Situazione Normale
73,VS,65,VS,A,1647614347,Non sospetto,Situazione Normale
74,VS,64,VCS,A,1647614348,Non sospetto,Situazione Normale
75,VS,86,VS,A,1647614352,Non sospetto,Situazione Normale
76,VS,80,VS,A,1647614354,Non sospetto,Situazione Normale
77,VS,75,VS,A,1647614357,Non sospetto,Situazione Normale
78,VS,97,VS,C,1647614361,Non sospetto,Situazione Normale
79,VS,58,VCI,A,1647614364,Non sospetto,Situazione Normale
80,VS,74,VS,A,1647614365,Non sospetto,Situazione Normale
81,VS,50,VCS,C,1647614368,Non sospetto,Situazione Normale
82,VCI,52,VCS,B,1647614369,Sospetto,Situazione Normale
83,VS,53,VCS,C,1647614373,Non sospetto,Situazione Normale
84,VS,81,VS,B,1647614374,Non sospetto,Situazione Normale
85,VCS,90,VCS,B,1647614375,Non sospetto,Situazione Normale
86,VCS,52,VS,E,1647614379,Non sospetto,Situazione Normale
87,VS,97,VS,E,1647614380,Non sospetto,Situazione Normale
88,VS,72,VS,C,1647614381,Non sospetto,Situazione Normale
89,VS,98,VS,C,1647614383,Non sospetto,Situazione Normale
90,VS,77,VS,D,1647614385,Non sospetto,Situazione Normale
91,VCS,57,VTC,D,1647614388,Non sospetto,Situazione Normale
92,VS,66,VS,C,1647614389,Non sospetto,Situazione Normale
93,VCS,82,VCS,D,1647614393,Non sospetto,Situazione Normale
94,VS,86,VS,D,1647614396,Non sospetto,Situazione Normale
95,VS,94,VS,C,1647614398,Non sospetto,Situazione Normale
96,VS,81,VS,B,1647614400,Non sospetto,Situazione Normale
97,VCI,53,VS,D,1647614402,Sospetto,Situazione Normale
98,VS,91,VS,A,1647614403,Non sospetto,Situazione Normale
99,VCS,80,VCS,A,1647614404,Non sospetto,Situazione Normale
100,VS,94,VS,D,1647614405,Non sospetto,Situazione Normale
101,VS,91,VS,C,1647614408,Non sospetto,Situazione Normale
102,VS,56,VS,C,1647614411,Non sospetto,Situazione Normale
103,VS,59,VS,E,1647614415,Non sospetto,Situazione Normale
104,VS,69,VS,C,1647614419,Non sospetto,Situazione Normale
105,VS,83,VS,A,1647614422,Non sospetto,Situazione Normale
106,VS,55,VCS,E,1647614426,Non sospetto,Situazione Normale
107,VS,51,VS,B,1647614430,Non sospetto,Situazione Normale
108,VCI,81,VCI,A,1647614434,Sospetto,Situazione Normale
109,VS,72,VS,D,1647614436,Non sospetto,Situazione Normale
110,VS,98,VS,E,1647614439,Non sospetto,Situazione Normale
111,VCS,76,VCS,C,1647614443,Non sospetto,Situazione Normale
112,VS,86,VS,E,1647614444,Non sospetto,Situazione Normale
113,VS,50,VTC,C,1647614447,Non sospetto,Situazione Normale
114,VS,53,VCI,E,1647614448,Non sospetto,Situazione Normale
115,VS,80,VS,B,1647614452,Non sospetto,Situazione Normale
116,VS,59,VCS,D,1647614456,Non sospetto,Situazione Normale
117,VS,98,VS,E,1647614460,Non sospetto,Situazione Normale
118,VCS,98,VCS,D,1647614462,Non sospetto,Situazione Normale
119,VS,51,VS,D,1647614464,Non sospetto,Situazione Normale
120,VS,94,VS,A,1647614466,Non sospetto,Situazione Normale
121,VS,50,VCS,E,1647614468,Non sospetto,Situazione Normale
122,VCI,65,VCI,A,1647614471,Sospetto,Situazione Normale
123,VS,55,VTC,D,1647614473,Non sospetto,Situazione Normale
