,A,B,C
0,1000.0,311.0,93.0
1,1000.0,311.0,93.0
2,999.0,312.0,93.0
3,999.0,311.0,92.0
4,999.0,312.0,92.0
5,5.0,0.0,2.0
6,4.0,1.0,0.0
7,999.0,311.0,92.0
8,999.0,311.0,92.0
9,999.0,311.0,92.0
10,999.0,312.0,93.0
11,999.0,311.0,92.0
12,999.0,312.0,92.0
13,999.0,312.0,93.0
14,3.0,0.0,1.0
15,999.0,311.0,92.0
16,999.0,311.0,92.0
17,998.0,311.0,92.0
18,999.0,311.0,93.0
19,999.0,312.0,92.0
20,998.0,312.0,92.0
21,1000.0,311.0,92.0
22,999.0,312.0,92.0
23,999.0,311.0,92.0
24,999.0,312.0,92.0
25,999.0,310.0,92.0
26,999.0,311.0,92.0
27,999.0,311.0,92.0
28,998.0,311.0,92.0
29,999.0,311.0,92.0
30,999.0,311.0,93.0
31,999.0,311.0,92.0
32,1000.0,311.0,92.0
33,1000.0,311.0,92.0
34,999.0,311.0,92.0
35,999.0,311.0,92.0
36,999.0,311.0,92.0
37,999.0,311.0,92.0
38,1000.0,311.0,92.0
39,2.0,2.0,2.0
40,999.0,311.0,93.0
41,999.0,311.0,91.0
42,1000.0,311.0,92.0
43,999.0,312.0,92.0
44,999.0,312.0,92.0
45,999.0,311.0,93.0
46,1000.0,311.0,93.0
47,999.0,311.0,93.0
48,999.0,311.0,92.0
49,999.0,312.0,92.0
50,999.0,311.0,92.0
51,1000.0,312.0,92.0
52,1000.0,311.0,92.0
53,1000.0,311.0,92.0
54,999.0,311.0,92.0
55,999.0,311.0,92.0
56,2.0,0.0,3.0
57,999.0,311.0,93.0
58,999.0,311.0,91.0
59,999.0,311.0,93.0
60,999.0,311.0,92.0
61,999.0,312.0,92.0
62,999.0,311.0,92.0
63,999.0,312.0,93.0
64,999.0,311.0,93.0
65,0.0,0.0,3.0
66,999.0,311.0,92.0
67,998.0,311.0,93.0
68,999.0,311.0,92.0
69,1.0,2.0,2.0
70,1000.0,311.0,92.0
71,999.0,311.0,92.0
72,999.0,311.0,92.0
73,999.0,311.0,92.0
74,999.0,312.0,92.0
75,999.0,311.0,92.0
76,999.0,311.0,92.0
77,999.0,311.0,92.0
78,999.0,311.0,92.0
79,999.0,311.0,92.0
80,999.0,311.0,92.0
81,1000.0,311.0,92.0
82,999.0,311.0,93.0
83,999.0,311.0,92.0
84,999.0,311.0,93.0
85,999.0,311.0,92.0
86,999.0,311.0,93.0
87,999.0,312.0,92.0
88,999.0,311.0,91.0
89,784.0,1000.0,1000.0
90,1000.0,311.0,92.0
91,999.0,311.0,92.0
92,999.0,311.0,92.0
93,1000.0,311.0,92.0
94,1000.0,311.0,93.0
95,1000.0,311.0,92.0
96,999.0,311.0,92.0
97,999.0,311.0,92.0
98,1000.0,311.0,92.0
99,999.0,311.0,92.0
