Id,Prima etichetta,Pr Prima etichetta,Luogo,Orario,Verita Seconda etichetta,Tipo situazione,Seconda etichetta,Pr Seconda etichetta,Incertezza Sistema
1,VS,85,D,1647349800,Non sospetto,Situazione Normale,Non sospetto,50,0.57
2,VS,50,B,1647349804,Non sospetto,Situazione Normale,Non sospetto,50,0.75
3,VCS,80,E,1647349807,Non sospetto,Situazione Normale,Non sospetto,50,0.6
4,VS,91,B,1647349811,Non sospetto,Situazione Normale,Non sospetto,50,0.54
5,VS,83,B,1647349813,Non sospetto,Situazione Normale,Non sospetto,50,0.58
6,VS,69,D,1647349814,Non sospetto,Situazione Normale,Non sospetto,50,0.66
7,VS,84,E,1647349817,Non sospetto,Situazione Normale,Non sospetto,50,0.58
8,VS,76,D,1647349818,Non sospetto,Situazione Normale,Non sospetto,50,0.62
9,VS,95,D,1647349821,Non sospetto,Situazione Normale,Non sospetto,50,0.53
10,VCS,64,B,1647349824,Non sospetto,Situazione Normale,Non sospetto,50,0.68
11,VS,56,E,1647349826,Non sospetto,Situazione Normale,Non sospetto,88,0.51
12,VS,73,D,1647349827,Non sospetto,Situazione Normale,Non sospetto,88,0.36
13,VS,89,D,1647349829,Non sospetto,Situazione Normale,Non sospetto,88,0.22
14,VS,54,C,1647349830,Non sospetto,Situazione Normale,Non sospetto,88,0.52
15,VS,71,E,1647349832,Non sospetto,Situazione Normale,Non sospetto,88,0.38
16,VS,91,D,1647349836,Non sospetto,Situazione Normale,Non sospetto,88,0.2
17,VS,66,D,1647349837,Non sospetto,Situazione Normale,Non sospetto,88,0.42
18,VS,86,C,1647349839,Non sospetto,Situazione Normale,Non sospetto,88,0.24
19,VS,63,B,1647349843,Non sospetto,Situazione Normale,Non sospetto,88,0.45
20,VS,51,E,1647349845,Non sospetto,Situazione Normale,Non sospetto,88,0.55
21,VS,98,E,1647349847,Non sospetto,Situazione Normale,Non sospetto,88,0.14
22,VCS,86,A,1647349848,Non sospetto,Situazione Normale,Non sospetto,50,0.57
23,VS,63,B,1647349850,Non sospetto,Situazione Normale,Non sospetto,88,0.45
24,VS,53,C,1647349852,Non sospetto,Situazione Normale,Non sospetto,88,0.53
25,VS,87,B,1647349856,Non sospetto,Situazione Normale,Non sospetto,88,0.23
26,VS,85,D,1647349858,Non sospetto,Situazione Normale,Non sospetto,88,0.25
27,VS,58,D,1647349862,Non sospetto,Situazione Normale,Non sospetto,88,0.49
28,VS,74,A,1647349864,Non sospetto,Situazione Normale,Non sospetto,88,0.35
29,VS,93,E,1647349865,Non sospetto,Situazione Normale,Non sospetto,77,0.28
30,VS,51,D,1647349867,Non sospetto,Situazione Normale,Non sospetto,77,0.61
31,VS,59,E,1647349869,Non sospetto,Situazione Normale,Non sospetto,77,0.55
32,VS,74,E,1647349871,Non sospetto,Situazione Normale,Non sospetto,77,0.43
33,VS,65,C,1647349873,Non sospetto,Situazione Normale,Non sospetto,77,0.5
34,VS,61,B,1647349875,Non sospetto,Situazione Normale,Non sospetto,77,0.53
35,VS,56,C,1647349879,Non sospetto,Situazione Normale,Non sospetto,77,0.57
36,VS,89,D,1647349882,Non sospetto,Situazione Normale,Non sospetto,77,0.31
37,VS,62,E,1647349883,Non sospetto,Situazione Normale,Non sospetto,77,0.52
38,VS,85,E,1647349884,Non sospetto,Situazione Normale,Non sospetto,77,0.35
39,VS,63,B,1647349887,Non sospetto,Situazione Normale,Non sospetto,77,0.51
40,VCS,78,A,1647349888,Non sospetto,Situazione Normale,Non sospetto,50,0.61
41,VCS,61,A,1647349889,Non sospetto,Situazione Normale,Non sospetto,50,0.7
42,VS,95,C,1647349890,Non sospetto,Situazione Normale,Non sospetto,75,0.29
43,VCI,74,B,1647349894,Sospetto,Situazione Normale,Sospetto,100,0.26
44,VS,58,B,1647349898,Non sospetto,Situazione Normale,Non sospetto,75,0.57
45,VCS,92,A,1647349901,Non sospetto,Situazione Normale,Non sospetto,50,0.54
46,VS,54,E,1647349905,Non sospetto,Situazione Normale,Non sospetto,75,0.59
47,VS,63,C,1647349908,Non sospetto,Situazione Normale,Non sospetto,75,0.53
48,VS,83,A,1647349910,Non sospetto,Situazione Normale,Non sospetto,73,0.39
49,VS,93,E,1647349914,Non sospetto,Situazione Normale,Non sospetto,73,0.32
50,VS,61,C,1647349918,Non sospetto,Situazione Normale,Non sospetto,73,0.55
51,VS,62,E,1647349919,Non sospetto,Situazione Normale,Non sospetto,73,0.55
52,VCS,61,B,1647349921,Non sospetto,Situazione Normale,Non sospetto,50,0.7
53,VS,58,D,1647349923,Non sospetto,Situazione Normale,Non sospetto,73,0.58
54,VS,85,B,1647349926,Non sospetto,Situazione Normale,Non sospetto,73,0.38
55,VS,81,C,1647349930,Non sospetto,Situazione Normale,Non sospetto,73,0.41
56,VS,97,A,1647349932,Non sospetto,Situazione Normale,Non sospetto,82,0.2
57,VS,90,C,1647349933,Non sospetto,Situazione Normale,Non sospetto,82,0.26
58,VS,73,D,1647349935,Non sospetto,Situazione Normale,Non sospetto,82,0.4
59,VS,50,E,1647349938,Non sospetto,Situazione Normale,Non sospetto,82,0.59
60,VCI,92,B,1647349940,Sospetto,Situazione Normale,Sospetto,50,0.54
61,VCS,93,D,1647349943,Non sospetto,Situazione Normale,Non sospetto,50,0.53
62,VCI,52,C,1647349947,Sospetto,Situazione Normale,Sospetto,50,0.74
63,VS,87,C,1647349948,Non sospetto,Situazione Normale,Non sospetto,82,0.29
64,VCI,73,B,1647349950,Sospetto,Situazione Normale,Sospetto,50,0.64
65,VS,50,E,1647349951,Non sospetto,Situazione Normale,Non sospetto,82,0.59
66,VS,86,A,1647349954,Non sospetto,Situazione Normale,Non sospetto,81,0.3
